time,trade_type,indicator,ltp,target,stoploss,profit,cumulative_profit
2024-01-09 09:14:59,exit,reached stoploss,21653.6,,,-6852.499999999964,
2024-01-09 14:10:01,entry,short,21665.05,21621.7199,21686.715049999995,,
2024-01-09 14:19:42,exit,achieved target,21621.4,,,2182.499999999891,
2024-01-09 15:15:00,entry,short,21543.2,21500.1136,21564.743199999997,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
