time,trade_type,indicator,ltp,target,stoploss,profit,cumulative_profit
2024-02-20 09:20:00,entry,short,22063.85,22019.722299999998,22085.913849999997,,
2024-02-20 09:26:34,exit,reached stoploss,22086.1,,,-1112.5,
2024-02-20 14:05:00,entry,short,22091.25,22047.0675,22113.341249999998,,
2024-02-20 14:09:33,exit,reached stoploss,22115.2,,,-1197.5000000000364,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
