time,trade_type,indicator,ltp,target,stoploss,profit,cumulative_profit
2024-02-22 09:30:00,entry,short,22006.75,21962.7365,22028.756749999997,,
2024-02-22 09:42:07,exit,reached stoploss,22029.05,,,-1114.9999999999636,
2024-02-22 14:40:00,entry,long,22105.6,22149.8112,22083.4944,,
2024-02-22 14:50:13,exit,achieved target,22150.0,,,2220.0000000000728,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
