time,open,high,low,close,Volume,Volume MA,RSI
2023-11-09T14:35:00+05:30,19393.0,19402.35,19392.85,19398.75,1859307,2527738.75,34.22618369
2023-11-09T14:40:00+05:30,19398.55,19399.9,19389.25,19395.85,1538093,2416255.8,32.85863822
2023-11-09T14:45:00+05:30,19395.3,19407.05,19384.1,19397.45,4654866,2514565.5,34.415644
2023-11-09T14:50:00+05:30,19397.4,19405.75,19378.35,19396.15,4730664,2604539.6,33.73119691
2023-11-09T14:55:00+05:30,19395.9,19397.5,19390.0,19397.5,2776513,2671709.95,35.1730294
2023-11-09T15:00:00+05:30,19393.8,19399.2,19381.4,19396.95,5402795,2786479.25,34.84044416
2023-11-09T15:05:00+05:30,19394.5,19400.45,19388.55,19393.75,4665003,2916522.75,32.89171415
2023-11-09T15:10:00+05:30,19392.95,19399.4,19389.55,19393.1,4385724,3018631.05,32.49413732
2023-11-09T15:15:00+05:30,19392.55,19400.6,19389.75,19398.45,6686357,3264525.65,39.0269144
2023-11-09T15:20:00+05:30,19398.1,19403.35,19391.6,19400.45,6241598,3496420.3,41.31333779
2023-11-09T15:25:00+05:30,19400.6,19406.5,19395.4,19404.0,4954546,3685443.45,45.23866233
2023-11-10T09:15:00+05:30,19359.3,19366.0,19329.45,19352.65,6839168,3939129.0,22.15500053
2023-11-10T09:20:00+05:30,19353.85,19354.55,19335.3,19353.65,3257888,4024566.55,22.97922794
2023-11-10T09:25:00+05:30,19353.35,19359.0,19351.6,19352.95,2623055,3954007.45,22.79726547
2023-11-10T09:30:00+05:30,19353.8,19354.65,19338.25,19340.5,3340348,3974714.95,19.79494725
2023-11-10T09:35:00+05:30,19341.8,19351.9,19334.7,19350.45,1647541,3908409.6,27.96045743
2023-11-10T09:40:00+05:30,19350.5,19354.85,19345.1,19352.0,2222327,3879230.45,29.17019438
2023-11-10T09:45:00+05:30,19352.9,19355.45,19343.2,19343.2,2803225,3760610.05,26.4540785
2023-11-10T09:50:00+05:30,19343.55,19347.6,19339.6,19346.8,1445990,3727095.1,29.35217139
2023-11-10T09:55:00+05:30,19346.95,19350.65,19335.9,19337.2,2276105,3717555.65,26.3682435
2023-11-10T10:00:00+05:30,19336.35,19344.8,19333.9,19342.85,1604670,3704823.8,30.82538805
2023-11-10T10:05:00+05:30,19343.0,19351.15,19338.75,19343.65,2792180,3767528.15,31.45805364
2023-11-10T10:10:00+05:30,19343.55,19349.75,19342.15,19349.1,1385140,3604041.85,35.76798383
2023-11-10T10:15:00+05:30,19348.9,19361.4,19348.9,19357.8,1548710,3444944.15,42.03403981
2023-11-10T10:20:00+05:30,19357.75,19361.55,19355.05,19360.8,1058934,3359065.2,44.0605446
