time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA
2023-10-13T09:15:00+05:30,19678.9,19718.9,19635.3,19714.9,13199982,4260038.15,18.25652629,40.17900499
2023-10-13T09:20:00+05:30,19714.6,19724.1,19709.05,19720.8,7531433,4492153.65,22.00306797,38.68004758
2023-10-13T09:25:00+05:30,19721.8,19734.3,19717.65,19724.7,4491807,4570554.9,24.46745479,37.16846703
2023-10-13T09:30:00+05:30,19724.5,19736.6,19716.9,19728.1,4679203,4658354.5,26.64350505,36.13851022
2023-10-13T09:35:00+05:30,19726.6,19729.4,19717.7,19721.55,3640390,4703795.15,25.14084173,35.1918295
2023-10-13T09:40:00+05:30,19722.6,19725.1,19706.95,19708.4,3273155,4737513.3,22.40840336,33.97107674
2023-10-13T09:45:00+05:30,19707.55,19711.2,19699.35,19701.05,4083397,4812098.6,21.03244113,32.70257023
2023-10-13T09:50:00+05:30,19701.4,19708.45,19696.65,19701.45,7561812,5039419.9,21.31560741,31.37634066
2023-10-13T09:55:00+05:30,19701.55,19713,19700.15,19711.45,3219969,5068497,28.24317433,31.16324031
2023-10-13T10:00:00+05:30,19711.75,19713.2,19692.45,19697.25,3435072,5110895.7,24.89181003,29.31819584
2023-10-13T10:05:00+05:30,19696.4,19699.05,19690.45,19697.35,3353299,5067275.15,24.95934071,27.63493707
2023-10-13T10:10:00+05:30,19698.35,19699.4,19691.7,19692.55,2267516,5027376.15,23.85082185,26.10649165
2023-10-13T10:15:00+05:30,19693.3,19696.15,19686.45,19688.05,3133555,5024190.85,22.8272473,24.54362838
2023-10-13T10:20:00+05:30,19690.05,19691.75,19682.55,19687.35,2165774,4998873.9,22.6643069,23.47889635
2023-10-13T10:25:00+05:30,19687,19689.4,19683.4,19685.2,2714232,4901014.2,22.1415399,23.75639732
2023-10-13T10:30:00+05:30,19685.1,19704,19682.25,19697.1,2615009,4752805.95,31.55216786,24.43847588
2023-10-13T10:35:00+05:30,19698.75,19700.7,19690.95,19694.45,3205404,4631944.4,30.6633436,24.88103937
2023-10-13T10:40:00+05:30,19693.7,19694.75,19682.45,19685.25,3403452,4505205.1,27.74158334,24.95947353
2023-10-13T10:45:00+05:30,19685.9,19686.65,19674.5,19677.55,1936590,4301828.5,25.54746307,24.98851791
2023-10-13T10:50:00+05:30,19677.2,19680.85,19674.35,19675.35,2075197,4099312.4,24.9405154,25.16938306
2023-10-13T10:55:00+05:30,19675.85,19680.05,19674.35,19677.2,2549493,3566787.95,26.52139253,25.56145102
2023-10-13T11:00:00+05:30,19676.35,19681.7,19670.55,19678.9,3670772,3373754.9,28.02161787,26.04045176
2023-10-13T11:05:00+05:30,19678.45,19683.1,19675.1,19679.5,2729099,3285619.5,28.57589555,26.06421757
